RPM,Coolant Temperature (°C),Vehicle Speed (km/h),Intake Air Mass (g/s),High RPM,High Coolant Temperature,Low Speed,High Intake Air Mass,Low Intake Air Mass,Thermostat Issue,Airflow Restriction
2248.0,71.78136671275037,42.0,7.678893300364607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143.0,73.15428700127586,106.0,2.9186298119216865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2733.0,86.4815933187623,58.0,4.750997510806866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3041.0,88.92740149844639,117.0,8.537899080094494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510.0,87.52309065756862,51.0,3.863928366670289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2529.0,72.03597107718477,97.0,8.452578142153158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2906.0,88.66538535582976,48.0,7.471836674726108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1663.0,85.41290043461336,104.0,8.350056482214063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1709.0,89.21462728937584,87.0,5.232504916485339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247.0,82.97748933206036,66.0,5.794291019303206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3445.0,78.63457297569953,60.0,4.6604498557204845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023.0,70.51733180883323,70.0,8.739726622938022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2629.0,70.76987437723065,89.0,4.35074425545675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434.0,77.26697087190911,48.0,5.779294755971227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996.0,88.32660215825071,62.0,6.821826245649159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094.0,76.48497375021797,98.0,7.166680798135204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3386.0,76.5491886147791,96.0,8.066776680624066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839.0,71.17729719014574,60.0,8.870376143819591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
853.0,84.3681403683373,27.0,2.683405103346955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071.0,78.14204417818097,114.0,3.755832561628458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2687.0,70.1610406757819,118.0,2.954319633685754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2347.0,85.54332486255,31.0,5.434876623082489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059.0,87.25113369722186,34.0,4.307511210644709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3037.0,76.7042384570427,109.0,3.331580432452747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004.0,88.6747024709973,56.0,6.68351908657336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828.0,84.97807902120647,63.0,7.72050164785989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3413.0,80.11565556919021,110.0,8.118067433025699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1726.0,75.7804164641392,75.0,3.020356956916797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2770.0,81.33292108238433,73.0,8.355314036294233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006.0,81.22390417741218,87.0,8.601380442441945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3027.0,76.71491429374237,88.0,6.8840730537168655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
